GO,Genes,Gene_Count,Term_Description,50perc_contaminated_Genes,100perc_contaminated_Genes
GO:0036017,KIT CD40 MT2A EPO RHEX MT1X EPOR,7,response to erythropoietin,EPO RHEX EPOR ADPRHL1 ITIH1 TIRAP PCDHB14,UQCRFS1 CTNNA1 CAVIN2 DTNBP1 UPRT DIP2B PIMREG
GO:0008292,SLC44A4 CHAT SLC5A7,3,acetylcholine biosynthetic process,SLC5A7 CDC14A ANKRD39,CDH11 SLC22A8 RHOBTB2
GO:0032075,HMGB2 AKT1 RPS3 DDX11 PCNA PRKCD,6,positive regulation of nuclease activity,AKT1 DDX11 HMGB2 PCYOX1 H6PD NLRP9,FAM50A AKAP6 TRPM5 ABRACL ADGRF3 MGAT4A
GO:0015760,G6PC3 SLC37A3 SLC37A1 G6PC1 SLC37A4 SLC37A2 SLC17A3,7,glucose-6-phosphate transport,SLC37A1 SLC37A3 G6PC1 APOL2 TLR2 PLXNB3 OR51D1,OR2J2 GSTT2B BASP1 CMAS FRMD6 SLC12A3 IFI27L2
GO:1904377,ZDHHC2 LRP1 EFCAB7 WNT3A TREM2 SORBS1 EGFR ARHGEF16 ACSL3 GNAI1 PRKCE WNK3 AGR2 AKAP5 ZDHHC5 VIL1 PTPN9 RAMP3 VPS35 LGALS3 ARF6 PLS1 STX4 PDPK1 ITGA3 DLG1 EZR STAC2 KCNJ11 GPSM2 EPHB2 SPTBN1 EPB41L2 PPP1R9B TNF ITGB1 GPER1 STX3 CNST KIF5B EPHA2 RER1 ATP2C1 AKT1 PIAS1 DPP10 ATP2B4 SQSTM1 NUMA1 PRKCI SNCA PRNP NKD2 STAC3 RAB11FIP2 CACNG2 RAB38 EPB41 EPHA3 CNPY4 RHOG RACK1 IFNG CLIP3 RANGRF CIB1 STAC PGRMC1 PRKCH ZDHHC8 CLN3 EIF4G1 PIK3R1,73,positive regulation of protein localization to cell periphery,EPB41 PTPN9 DLG1 VIL1 EGFR RER1 SORBS1 RHOG GPSM2 KIF5B CNST DPP10 PIK3R1 GNAI1 CLN3 STAC2 ZDHHC8 VPS35 AGR2 AKAP5 STAC ATP2B4 EFCAB7 TREM2 PIAS1 PDPK1 NUMA1 PRKCE SNCA GPER1 ARF6 TNF EPB41L2 ACSL3 ARHGEF16 RACK1 INHBB BCLAF3 PPT2 EZH1 AUTS2 ZMYND15 OR10H3 DCT COG3 ATRIP FRAT1 BATF IGSF23 RALBP1 MCM3AP POMT2 GLB1L2 NEK2 MADCAM1 GRID2 SMPD4 ZNF664-RFLNA PHC1 ADAM23 KLKB1 IL7R CCNE1 WDR11 NIBAN2 CNTNAP4 PABPC3 CA14 ZSCAN26 KHDRBS3 MAPK8 FOXD4L6 XRCC2,C17orf75 MEGF9 EMG1 NOSTRIN ARRB2 ZSCAN21 CSNK2A1 CX3CR1 IL17RB SEC22C TNFRSF17 SLC24A2 OTP CECR2 SHOC2 RGS12 SLC25A21 LSM14B TAOK3 PPP2R2B HK2 SV2A BMP8B RUNX2 SUB1 HECTD2 ANPEP NR6A1 RXRA USP4 PLD2 PDSS2 USP17L11 WDR7 ZDHHC6 VTI1A KALRN SYNJ2BP MAP7D1 BARX1 NRAS TNFSF4 LMX1B FAM111A KARS1 ATG2A DCPS FAM86B2 NID1 KSR2 ZNF254 RGS9 THOC5 TRIM5 LGALS13 RASA3 CDC40 PLEKHN1 CATSPER3 COL4A2 NCAPH2 CYLC1 FATE1 LECT2 TMEM132E ST7 NDUFB9 TFF3 PDIA2 LMNTD1 PYGL ATP5MC3 TBC1D15
GO:0042775,NDUFS8 NDUFS5 UQCRC1 NDUFB8 SDHA NDUFS1 COX6A2 COX8A COX4I2 COA6 ND3 CHCHD2 SDHD CDK1 CYCS NDUFB10 PARK7 NDUFB7 ND2 NDUFB2 NDUFA1 COX5B NDUFAB1 COX6B1 ND4L NDUFB1 NDUFV3 COX7A1 UQCRC2 BID NDUFA2 CYC1 NDUFC2-KCTD14 COX6C NDUFA8 COX4I1 CYTB COX7B2 ND6 NDUFB6 NDUFB5 DGUOK COX8C DNAJC15 NDUFV1 UQCRH PINK1 NDUFA6 UQCR11 CCNB1 COX1 ND1 NDUFA4 NDUFS2 TAFAZZIN UQCRHL ND5 NDUFA7 GHITM NDUFS6 ND4 COX3 COX5A SDHAF2 COX15 NDUFV2 COX6A1 UQCR10 UQCC3 NDUFA9 NDUFA12 NDUFB9 NDUFS7 NDUFB4 ISCU NDUFS4 UQCRFS1 COX7B COX7C NDUFS3 COX7A2 SDHC NDUFA3 COX2 NDUFA10 SDHB NDUFC2 NDUFAF1 COQ9 SNCA NDUFB3 AFG1L UQCRB COX7A2L NDUFC1 UQCRQ DLD NDUFA5,98,mitochondrial ATP synthesis coupled electron transport,NDUFB4 COX4I1 UQCRC1 NDUFAF1 COX5B NDUFA4 NDUFA9 CYTB DLD SDHC NDUFA8 SNCA DNAJC15 NDUFB6 NDUFS8 BID COX6A2 COX1 CDK1 NDUFB3 NDUFA7 SDHB GHITM COQ9 NDUFB10 SDHD COX7B2 CCNB1 COX6C NDUFB8 NDUFA5 ND4 COX7C ND6 ND3 UQCR11 NDUFV3 COX8C NDUFA1 DGUOK NDUFC1 ISCU UQCRFS1 COX3 ND5 NDUFA12 UQCC3 NDUFV2 SDHA OR5T3 GMIP GSG1L PTDSS1 ACTL6A SAA2 AKAP8 GAS7 FADS2 ZNF408 EIF2AK1 OR4A5 SNX19 TCFL5 SEC11C TWIST2 RAB6C ACTR3 RBPMS LTF DOCK4 PPIAL4G SMARCB1 ZPLD1 OR8B4 MATN1 FER1L6 EIF3D KDSR SENP8 MFAP1 SERPINA11 WNK2 B4GALT2 CKB IER3IP1 ZNF282 SIRPG TXNDC2 IFNL4 NEUROG2 EIF2AK3 CUX2 DDX24 LMOD2 TJP2 SS18L2 OR13H1 OR10G7,SLC16A1 RSPH9 OR10A7 PRMT9 PRAMEF27 FGFR1OP2 CATSPERB GNA14 RASGEF1C SLC13A1 PIGP SPRED3 PLCH1 MED20 RBCK1 EIF1AX GALNT1 RBFOX2 SYTL2 ATAD2B TKFC CYP46A1 PLPPR2 TENT4B RPL28 ENG MTMR6 CTAG2 KLRG1 RAB40B PMCH NOG OR13H1 MTARC2 OR56A1 MRPS10 ZNF609 NALF2 ELOVL5 LTC4S MCIDAS PPM1A KCNJ3 ALG9 TSSK4 OR10J5 KRTCAP2 IL22RA1 SLC49A4 WWC2 AGRP ATRX RAB6D CHRD TTLL7 RASSF9 KRT5 SH3RF2 DDX28 EPHA5 NPTX1 STT3A ROBO4 TBC1D30 SRRT HAT1 CKLF TUBA1C DLG3 PPIAL4G TRIM49 GOLGA8J LST1 JUN KIF2A CDC45 GID8 CRISPLD2 TBC1D1 LOC102724560 RRH APCS ZNF532 FUT9 SEPTIN10 SYNGR3 FRZB TANC1 ADRA1A CA14 ITIH4 TBCEL TRMT1 MPC2 POLE EFCAB7 CABYR OR51A2
GO:1900153,NANOS3 CNOT7 CPEB3 NANOS1 ZFP36 TNRC6B TOB1 PABPC1 TNRC6C ZFP36L2 AGO2 NANOS2 ZFP36L1 CNOT1 DHX36,15,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",CPEB3 NANOS1 NANOS2 CNOT7 PABPC1 AGO2 ZFP36 HAO1 HIPK2 FOXA1 PLCD3 LRRC8C BTG4 TCERG1 RBMX,MBD2 SYNDIG1 CTDP1 SF3B2 OR10A6 XYLT1 OVOL3 MARCHF1 S1PR2 OR1D2 NET1 H2AC7 ZNF235 PTGER3 PAGR1
GO:0036303,PKD1 TIE1 PDPN VEGFC SVEP1 CCBE1 ACVR2B FOXC1 VEGFA EPHA2 LGALS8 BMPR2 CLEC14A ACVRL1 PTPN14 FOXC2 SOX18 VASH1 FGF2 PROX1 PPP3CB FLT4,22,lymph vessel morphogenesis,FLT4 FOXC2 EPHA2 VEGFA PTPN14 VEGFC ACVRL1 PKD1 CCBE1 ACVR2B FOXC1 PTP4A2 H3C12 IYD CTSS GFRA1 GGPS1 LRRC63 TRPV5 CD74 HPDL VSTM2A,HELZ2 TRERF1 ZNRF1 POLR2K ZNF433 FKBP2 PGA5 SFXN5 PROC KATNA1 BCLAF1 TPSB2 SH3TC2 CREM NPIPA2 GPT GOLPH3 RPL36A RPTOR CSPP1 YJU2 C6orf52
GO:0048840,ATG5 ATG4B OC90 SLC44A4 BLOC1S5 NOX3 LRIG3 TTC39C OTOL1 LRIG1,10,otolith development,OTOL1 ATG5 SLC44A4 TTC39C NOX3 XCL2 GSTO2 HNRNPF IGFALS HVCN1,TSTD1 SCGN BORA MARVELD3 ERO1A STX5 TSPAN4 EDEM1 DNAJB5 DEFA1
GO:0051754,BUB1 PPP2R1A BUB1B MEIKIN,4,"meiotic sister chromatid cohesion, centromeric",BUB1 MEIKIN PTAR1 CCDC3,RAPGEF6 SLC30A8 NRN1L CCL19
GO:0015816,SLC38A1 SLC36A3 SLC6A17 SLC7A8 SLC6A5 SLC25A38 SLC6A20 SLC38A5 RGS4 RGS2 SLC36A1 SLC7A10 SLC6A9 SLC36A2 SLC32A1,15,glycine transport,SLC38A5 RGS2 SLC6A9 SLC32A1 SLC36A2 SLC7A10 SLC38A1 DCDC1 JADE1 LRRC59 FMO5 IL20RA DECR2 DNER CNOT1,EFR3A DIO2 SLC15A1 FHL2 PMCH NFAM1 ZNF566 NUDT14 ENPP6 KRT8 FTMT FAM3B ADAM11 OR2B11 GTF3C1
GO:0006105,GAD2 ALDH5A1 SDHAF3 GAD1 SDHA SUCLG2 SUCLA2,7,succinate metabolic process,GAD2 SUCLG2 SDHA AK3 SLC22A18 CDC42BPB GABRP,AKAP12 LBR PPP3CB CHRNA10 SNAP23 ATP6V0D2 PCGF1
GO:0060020,MAPK1 MAP2K1 PTPN11 SHH GPR37L1 GFAP MAPK3 PLPP3 TTC21B VIM ABL1,11,Bergmann glial cell differentiation,GPR37L1 MAPK1 SHH PTPN11 PLPP3 N6AMT1 GOLGA8J SLC25A22 ZNF318 SDSL TRIM77,HSD17B13 MFSD5 SPI1 DDX20 OR1M1 ATP1B3 CABYR HYAL2 MEI4 FOXP4 BMS1
GO:0006406,DDX39B THOC1 NXF1 THOC2 THOC6 THOC5 POLDIP3 NUP214 NXF3 HNRNPA2B1 NSUN2 ALYREF AKAP8L PABPN1 EIF4A3 SUPT6H NUP160 FMR1 SRSF3 NCBP1 NXT1 UPF1 CHTOP RBM8A DDX19B AGFG1 NUP107 DDX19A UPF2 NUP85 NCBP2 NUP88 NUP133 TPR MAGOH MCM3AP MAGOHB HHEX NXT2 NCBP3 DDX39A RAE1 THOC3 C12orf50 DDX25 CASC3 SARNP YTHDC1 SMG6 PCID2 WNK1 SMG5 NXF2 ZC3H11A NXF2B SMG7 NUP155 THOC7 ALKBH5 SMG1 XPO1 EIF4E RBM15B GLE1 NUP93 ENY2 FYTTD1 SETD2 IWS1,69,mRNA export from nucleus,NCBP3 MCM3AP NUP133 HHEX NUP93 CASC3 PCID2 NUP160 AGFG1 DDX19B DDX19A SMG7 NUP214 DDX39B NXF3 NUP85 ENY2 NUP107 NCBP2 THOC7 ALYREF C12orf50 DDX39A THOC2 NUP155 NUP88 THOC6 XPO1 CHTOP GLE1 AKAP8L UPF2 SMG5 SETD2 CCL4L1 RAB28 KCTD13 TAS2R4 PPEF1 LANCL3 AMY2A SLC2A12 LY86 HRH2 SIGLEC10 CDK2AP2 FAM83F CFAP91 SPACA3 COMMD3 PRR5 DOLPP1 H2BC4 TMEM132A CEP68 ALG6 C4BPA RPS6KL1 DGAT1 SERGEF HJURP TIPIN ADGRL2 PPFIBP2 SLC37A2 WEE1 STIL PTK2 DPM3,CYP2W1 RGS16 PEX12 MAP3K2 LZTS2 C1QA APOL5 PGPEP1 FXYD6 ARHGAP26 PEX5 TMEM176A PTTG1IP COX1 CFAP251 PDK4 ANKS1A GP2 SLC11A2 CRYBG3 IGSF3 PSMF1 OR2L2 PTN DBN1 SBK3 MEDAG AP2A1 ALG5 PLXNB1 JOSD2 ATIC RNF38 ARMC10 ATP9B OR10AG1 MS4A7 PLCB3 OLFML2A IGFBPL1 TOR1AIP2 DHDDS BMP3 ELSPBP1 CRYGA TMCC2 MFSD3 PLAC1 TMEM259 LRRD1 PDS5A SERF2 RBKS ACSS2 B3GALT4 NAP1L1 GAB2 MYL6B CHRM3 CFHR2 NDRG4 HTR1B SGO2 AVPR1A PXN AOPEP OR8B8 PYURF TJP3
GO:0048857,CDK5R2 CNP HOXB2 CASP5 YWHAQ BASP1 CALM2 ATP5PF CKB FOXP2 SEC16A POTEE LOC102724334 NKX2-1 SYNGR3 SUDS3 ALDH1A3 NDUFS3 CHRNB2 RHOA SIRT2 YWHAH S100A1 TTBK1 CCDC14 ZNF148 GNB4 KCNC1 NDRG2 G6PD HOXB1 ATF2 DYNLL1 MAPKAP1 RAD1 SCRIB FGF9 ASCL1 MECP2 CALM1 ATP5PB KIRREL3 CDC42 CALM3 BCL2 KCNE1 MAOB PHOX2A ZNF430 PHOX2B MBP HSPA5 INA SEC24B FGF2 ACTB SYPL2 GLUD1 LARGE1 COX6B1 NFIB ARX CDK5R1 PADI2 KCNC2 YWHAE PLP1,67,neural nucleus development,S100A1 NKX2-1 LOC102724334 SEC16A ARX CDC42 CALM1 RHOA HOXB1 CALM3 PADI2 FGF9 BASP1 SUDS3 COX6B1 CKB YWHAE KCNE1 SYNGR3 SCRIB KCNC1 DYNLL1 PLP1 YWHAH HSPA5 NDUFS3 G6PD MAPKAP1 BCL2 CHRNB2 ACTB FOXP2 ATP5PF SRD5A3 OR51L1 MAP3K1 DPEP2 APBB3 CHCHD4 FIZ1 LYPD8 YAE1 KRR1 MEDAG MGME1 CGB1 CDYL2 KCP ZNF343 ZKSCAN4 COX3 SAMD4B LAMB4 USP17L11 SOAT2 DCAF7 EPG5 NOC2L FFAR2 DEFB123 DDX54 LRRC63 NCF1 CYP2J2 HSH2D RALGAPA1 PLA1A,STX16 CDK15 BORCS7 GLIS1 SLC9C1 PSG8 NR1H2 DUSP14 B3GLCT APOL4 CHIT1 RAB4A NDUFB1 CLRN3 OR51B6 HSFY2 ALKBH2 YBEY C1QB TAF11 B4GALT7 OR2A4 SLC6A7 MAP4K5 RBM27 DCD FXYD3 RNF5 ENTPD5 SPRYD4 RLBP1 MLLT6 CLEC4M ABCF1 CCDC87 DEFB104B PIP4P2 AURKC ANKRD13C SLC27A6 MARCHF6 OR4C46 OR6A2 TBC1D22B OR2A25 ADGRE3 AKAP10 TNNI2 TRIM35 RFT1 YIPF3 SAP18 OCEL1 CKMT1A SLC25A13 SFR1 ZNF540 ZNF214 ZDHHC14 USP17L1 DUX5 ZNF646 EXOSC5 COLEC12 OR11G2 RER1 TOMM40L
GO:1905806,EPHA4 PLXNC1 TREM2 ADGRB3 ITGB1 C1QL1,6,regulation of synapse pruning,TREM2 EPHA4 C1QL1 PARM1 ZKSCAN8 LIG3,KIFC2 DIRAS1 ATP2B2 ZNF268 AGAP2 PNN
GO:0000296,SLC18B1 ATP13A2 TAF7,3,spermine transport,ATP13A2 PLXNC1 LSM1,SPACA5 CAMSAP3 KNL1
